id,status_group
51367,functional
55577,non functional
28343,functional
43169,functional
36541,non functional
16431,functional
14157,functional needs repair
51249,non functional
3134,non functional
50894,functional
2911,non functional
47210,functional
4938,functional
69844,non functional
64294,functional
70139,functional
47197,functional
26439,non functional
69567,non functional
45058,functional needs repair
42413,functional
38911,functional
2020,functional
28142,functional
43241,functional
25680,functional
38250,functional
5273,non functional
8430,functional
49535,functional
1180,functional
42809,functional
6001,non functional
44402,functional needs repair
21688,functional
12688,functional
59103,functional
54894,functional
20474,functional
56064,functional
48779,functional
53877,functional
2282,non functional
25319,functional
50745,functional
25419,non functional
65283,non functional
12097,functional
70846,non functional
29327,functional
67089,functional
24474,functional
44193,functional
22744,functional
33119,non functional
68020,functional
41069,functional needs repair
43363,functional needs repair
32161,functional
34391,functional
11092,functional
40639,functional
164,functional
67775,functional
39944,functional
15272,functional
33758,functional
1472,functional
20506,non functional
13680,functional
68104,non functional
27492,functional
32551,functional
40448,non functional
32526,non functional
4567,non functional
40259,functional
6659,functional
66537,functional
30470,functional
33794,non functional
51855,functional
68944,non functional
69385,non functional
67783,functional
35055,non functional
33990,functional
47592,functional
50769,non functional
55323,functional
27057,functional
53650,functional
46282,non functional
4934,functional
8713,functional
49255,functional
20986,functional
41081,functional
11540,functional
36385,functional
28829,functional
68522,functional
16422,functional
6884,functional
16710,functional
22593,non functional
70202,non functional
6338,non functional
5641,functional
38753,functional
55923,functional
49743,functional
67389,functional
47242,functional
3458,non functional
40747,functional
7485,functional
33851,functional
34618,non functional
36063,functional
6576,functional
48068,functional
69090,functional
25070,functional
11981,functional
49465,functional
56652,non functional
67922,functional
41071,functional
45891,functional
26605,functional needs repair
21568,functional
39642,non functional
32424,functional needs repair
40739,non functional
30990,non functional
67545,functional
39499,functional
16098,functional
70598,non functional
67446,non functional
38746,non functional
65389,functional
25902,functional
29048,functional
16677,functional
55193,functional
30542,non functional
70534,non functional
66356,non functional
69824,non functional
60598,functional
70440,non functional
33504,functional
35437,functional needs repair
59730,functional
15126,non functional
59010,functional
12840,functional
19416,functional
3729,non functional
55910,non functional
10806,functional
6955,functional
24038,non functional
13546,functional
52242,functional
17937,functional
51252,non functional
44864,functional
4971,non functional
20471,functional
58367,functional
49806,functional
49642,functional
35788,non functional
62017,functional
50357,non functional
30764,functional
42440,functional
6313,functional
29367,functional needs repair
27199,functional
38180,functional
11222,functional
28856,functional
40000,functional
40017,functional
8565,functional needs repair
59453,functional
25231,non functional
48460,non functional
4926,functional
58381,non functional
9954,functional
55170,non functional
37524,functional
197,functional
64863,non functional
41687,non functional
68992,functional
58001,functional needs repair
42280,non functional
24522,functional
874,functional
29906,functional
49022,non functional
30966,non functional
25337,functional
65751,non functional
71379,functional
42868,non functional
72885,functional
5268,non functional
3348,functional
42703,non functional
60835,functional
46742,non functional
70175,functional
9106,functional
22923,functional
44765,non functional
9584,non functional
16200,functional needs repair
12510,functional
67099,functional
44428,functional
24254,functional
5144,functional
9265,functional
16459,functional
6172,functional
2380,functional
18025,non functional
37260,non functional
54684,non functional
1202,non functional
20865,functional
49515,functional
3433,functional
66912,non functional
15673,functional
53710,non functional
5989,functional
48541,functional
46423,functional
69157,non functional
52326,non functional
58853,functional
21823,functional
3097,non functional
11491,functional
55267,functional
18184,functional
37057,functional
37924,functional
37087,functional
48109,functional
25946,functional
45530,functional
7173,functional
17974,functional
37315,non functional
63788,functional
16191,functional
28089,non functional
49471,functional needs repair
44583,functional
64932,non functional
18972,functional
40732,functional
34246,non functional
38517,non functional
19685,non functional
7733,functional
24361,functional
36154,functional needs repair
25293,non functional
4854,functional needs repair
12276,functional
60990,non functional
18860,functional
25731,non functional
14285,functional
57456,non functional
50130,functional
24641,functional
4383,non functional
602,functional
53290,functional
2990,functional
31499,non functional
43034,functional
23498,functional
33801,non functional
23875,non functional
2901,non functional
45117,functional
4404,non functional
26438,functional
48111,functional
67333,functional
72506,functional
63526,functional
41520,functional
16985,functional
12824,non functional
7503,functional needs repair
65561,functional
62117,non functional
17174,functional
72827,functional
42947,non functional
12406,non functional
72523,functional
64676,functional
55311,functional
26738,functional
34404,non functional
62276,non functional
15648,non functional
55796,functional
71725,non functional
27429,functional
36444,functional
33615,functional needs repair
60686,non functional
17802,functional
1451,non functional
52016,functional
1478,functional
6061,functional
8707,functional
64426,functional
15977,functional
18641,functional
71619,functional
25464,functional
65529,functional
2220,non functional
43249,functional
22592,functional
30062,functional
33967,functional
18150,non functional
25799,non functional
57990,functional
655,functional
6429,functional
27522,non functional
51202,non functional
28088,functional
53961,functional
52601,functional
46638,functional
60067,non functional
13683,functional
48302,non functional
2269,non functional
49020,functional
51997,non functional
20644,functional
63087,non functional
43992,functional
68516,non functional
11655,functional
37841,functional
39248,non functional
42475,functional
13107,functional
59467,non functional
30023,non functional
47800,functional
70051,non functional
22769,functional
40514,functional
58635,functional
50984,functional
67820,functional
37834,functional
52447,non functional
26673,functional
46356,functional
65664,functional
4428,non functional
45966,functional
31532,functional
69536,non functional
7561,functional
61414,functional
7190,functional
50682,functional
71722,functional
37939,functional
47040,functional
39969,non functional
57947,non functional
18324,functional
67253,non functional
9893,functional
70606,functional
13179,functional
30197,functional
24032,non functional
59188,non functional
2186,functional
55452,functional
63487,functional
23579,functional
16162,non functional
39787,non functional
40760,non functional
16506,functional
66325,non functional
52650,non functional
71645,functional
7968,non functional
70540,non functional
30446,functional
23211,non functional
10220,non functional
17898,non functional
56411,non functional
56944,non functional
52747,non functional
55568,functional
42229,functional
42515,non functional
41925,functional needs repair
11660,non functional
55225,non functional
21476,non functional
39897,non functional
11303,functional
56848,non functional
72188,functional
2759,non functional
26532,functional
288,functional
70727,non functional
530,functional
63448,functional
64202,functional
33725,functional
11490,non functional
10841,functional
46134,non functional
28547,non functional
13954,functional
69168,functional
19177,functional
21511,non functional
68894,functional
8099,functional
40167,non functional
69,functional
1650,non functional
10008,functional
45716,non functional
32865,functional
55943,functional
59916,non functional
23118,functional
49059,functional
72264,non functional
33458,non functional
50960,functional
9767,non functional
18621,non functional
24500,functional
7765,functional
20807,non functional
71477,non functional
41181,functional
2330,non functional
32729,non functional
73928,functional
28393,functional
13770,functional
23711,non functional
11537,functional
18757,functional
1706,non functional
20950,functional
12123,non functional
52051,non functional
64349,non functional
69088,functional
32975,non functional
46057,functional
17169,functional
68158,functional
48355,non functional
33393,functional
57892,functional
29077,non functional
70152,non functional
66266,functional
50516,functional
52979,non functional
7585,functional
25577,non functional
20099,functional
62062,non functional
38023,functional
42237,non functional
1726,non functional
42521,functional
62348,functional
44736,functional
29756,functional
28897,functional
70452,non functional
74023,non functional
25423,non functional
63032,functional
63710,functional
22325,non functional
43728,non functional
36676,functional
10720,functional
52931,non functional
55257,functional
39375,functional
45059,non functional
63363,functional
57017,functional
27610,non functional
124,functional
25882,functional
52429,non functional
38692,non functional
59929,non functional
20308,functional
37728,non functional
22611,functional
42709,functional
52866,functional
26539,non functional
73149,functional
63006,functional
49234,functional
1609,functional
57308,functional
18932,functional
19510,functional
12146,functional
2210,functional
52271,functional
19402,functional
25826,non functional
1322,non functional
11173,functional
61723,non functional
63570,functional
41828,functional
11833,functional
14399,functional
55621,functional
33650,non functional
59229,functional
26634,non functional
24154,non functional
17919,non functional
64175,functional
67797,functional
54185,non functional
2295,non functional
67464,non functional
74032,functional
6793,non functional
55992,functional
63971,functional
35648,functional
71208,non functional
9874,functional
68568,functional
71899,functional
179,functional
7793,functional
39510,non functional
2433,non functional
14454,non functional
20402,functional
64672,functional
33343,non functional
69694,non functional
63780,functional
1129,non functional
53143,functional
38331,functional
54397,functional
41999,functional
18650,non functional
71098,non functional
74084,functional
59353,functional
20768,functional
65636,non functional
35197,functional
38420,non functional
16040,functional needs repair
73179,non functional
16781,functional
59669,non functional
56268,functional
50381,functional
10239,functional
45197,non functional
56953,functional
15273,functional
57960,functional
23219,functional
36740,non functional
6952,functional
22545,functional
14376,non functional
69609,non functional
69589,functional needs repair
3789,functional
52802,functional
66478,non functional
27117,non functional
26437,functional
64293,non functional
2775,functional
36595,non functional
66900,functional
2727,non functional
49326,functional
57782,functional
47666,functional
70895,non functional
42,functional
38961,functional
16937,functional
14571,functional
6551,functional
64310,functional
13514,functional
5248,functional
27594,functional
61295,functional
57417,functional
66872,functional
65776,functional
71638,functional
59093,non functional
63932,non functional
73829,functional
10796,functional
61456,functional
25788,non functional
36355,functional
8580,non functional
16643,functional
62602,functional
23212,non functional
14222,functional
3339,functional
30668,functional
50282,functional
50655,functional
69661,functional
7259,non functional
4564,functional
51891,non functional
52343,non functional
14993,functional
43424,non functional
51023,non functional
23015,functional
66049,non functional
35903,non functional
54201,functional
38646,functional
38732,functional
4776,functional needs repair
4909,non functional
46978,functional
25766,non functional
52027,functional
5854,functional
65195,functional
1837,functional
67112,non functional
11872,functional
53455,functional
35088,functional
7966,functional
11871,non functional
10037,functional
22885,non functional
72015,functional
48619,non functional
4417,non functional
18088,non functional
19208,non functional
34966,functional
56033,functional
16066,functional
57294,functional
34436,non functional
64057,non functional
15448,functional
15545,functional
41826,functional
63959,functional
11016,functional
37245,non functional
54711,functional
38763,functional
25320,non functional
28377,functional
44717,non functional
71360,non functional
10696,non functional
7597,functional
33992,non functional
52478,non functional
48752,functional
1027,functional needs repair
13561,functional
46853,functional
29856,non functional
56978,functional
71341,functional needs repair
13414,non functional
34131,non functional
47649,functional
24044,functional needs repair
47155,functional
16536,non functional
42883,functional needs repair
31944,non functional
26699,functional
41254,functional
14098,functional
3972,functional
48132,functional
68662,functional
65258,functional
43616,functional
71597,functional
71520,non functional
42502,functional
70209,non functional
5463,non functional
54014,non functional
28900,functional
46987,non functional
55515,functional
67886,functional
21204,non functional
28962,functional
7809,functional
17364,non functional
38788,non functional
24741,functional
1492,functional
64170,functional
39720,non functional
13711,functional needs repair
10427,functional
34597,functional
72297,functional
8870,non functional
33554,functional
72944,functional
39939,functional
54889,functional
36335,non functional
736,non functional
5799,functional
23738,non functional
71710,functional needs repair
32255,functional
8719,functional
5233,non functional
15587,functional
4440,non functional
56824,functional
71344,functional
32147,functional
68742,functional
26100,non functional
20600,non functional
5073,functional
43052,non functional
15694,functional
24655,functional
28848,non functional
41468,functional
47655,non functional
4326,functional
19283,functional
26746,functional
71154,functional
69316,non functional
14703,functional
50442,functional
34747,functional
22041,functional
41117,non functional
65228,functional
69738,functional
8555,functional needs repair
7257,functional
23081,functional
73625,non functional
8648,functional needs repair
8097,functional
43789,functional
55592,functional
61189,functional
10917,functional
51480,non functional
26048,functional
31750,non functional
71391,non functional
60088,functional
71778,functional
59769,functional
16644,functional
37853,functional
32247,non functional
51501,non functional
65360,functional
62108,functional
13564,functional
15375,non functional
33863,non functional
4099,non functional
7871,functional
201,functional
27634,non functional
20714,functional
227,functional
71497,functional
73230,functional
20572,functional
14344,functional
48004,functional
7262,functional
10718,functional
54257,non functional
68133,functional needs repair
70572,non functional
18394,non functional
23527,functional
26624,non functional
31669,non functional
28052,functional
38873,functional
36795,non functional
40398,non functional
28847,functional
59987,functional needs repair
30236,functional
36106,functional
19051,functional
3841,functional
43925,functional
60053,functional
6881,functional
36608,non functional
31533,functional
37933,functional
9156,functional needs repair
6381,non functional
7184,non functional
67624,functional
51196,non functional
9047,non functional
51613,functional
3568,functional
39820,non functional
59672,non functional
43810,functional
68135,functional
7916,functional
37415,non functional
65293,functional
29686,functional
69311,functional
1253,functional
64463,functional
68789,functional
70743,non functional
4514,functional
31326,functional
28429,functional
59181,non functional
66956,functional
13769,functional
56395,non functional
38123,non functional
34471,non functional
59219,non functional
65615,non functional
40405,functional
11517,functional
12511,non functional
7166,functional
33179,functional
28161,functional
45854,functional
66924,functional
71206,functional
35625,non functional
41082,functional
52577,non functional
11407,non functional
29025,functional needs repair
12695,functional needs repair
66181,functional
61429,non functional
8461,functional
11516,functional
8454,functional
11758,non functional
45701,non functional
1953,functional
67456,functional
56009,non functional
74214,functional
40776,functional
22975,functional
23478,functional
62877,non functional
59696,non functional
40675,functional
34891,functional
18612,non functional
16338,non functional
17419,non functional
35470,functional
62317,functional
8042,non functional
44974,functional needs repair
58405,non functional
27732,functional needs repair
51875,non functional
9227,non functional
4329,non functional
56281,functional
11249,functional
17861,functional
5042,functional
15520,functional needs repair
6250,functional
7875,non functional
9329,functional
40070,functional
61437,functional
43289,functional
42156,non functional
64286,functional needs repair
19487,functional
6581,functional
